unique_id,osmid,element_type,amenity,name,wheelchair,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,note,cuisine,opening_hours,phone,website,delivery,created_by,capacity,takeaway,name:fr,email,name:en,internet_access,toilets:wheelchair,contact:fax,contact:phone,contact:website,source,stars,tourism,wikidata,alt_name,description,outdoor_seating,smoking,contact:facebook,start_date,drive_in,contact:email,payment:coins,payment:mastercard,payment:notes,payment:visa,reservation,wheelchair:description,wheelchair:description:fr,name:de,designation,addr:housename,fax,level,payment:cash,internet_access:fee,toilets,payment:bitcoin,payment:litecoin,name:ko,survey:date,payment:credit_cards,payment:debit_cards,payment:maestro,payment:postfinance_card,bar,internet_access:ssid,facebook,opening_hours:url,old_name,opening_hours:covid19,lgbt,contact:phone_1,country,diet:vegan,diet:vegetarian,name:it,contact:mobile,opening_hours:signed,access:covid19,delivery:covid19,takeaway:covid19,brewery,drive_through:covid19,nodes,building,ele,min_age,building:levels,id,lon,lat
node/2164356574,2164356574,node,restaurant,Café des Amis,,POINT (6.225276 46.2238839),,,,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,6.225276,46.2238839
node/2166257125,2166257125,node,restaurant,Au Pied de Cochon,,POINT (6.149291900000001 46.20081649999999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,6.149291900000001,46.200816499999995
node/2166870345,2166870345,node,restaurant,L'Hôtel de Ville,,POINT (6.1468905 46.2012612),Genève,,39,1204.0,Grand-Rue,,regional;traditional,Mo-Su 11:30-23:00,+41 22 311 70 30,http://www.hdvglozu.ch,,,55.0,no,,,,,,,,,local knowledge,,,,,"Les produits du terroir qui sont à l'honneur dans notre établissement sont la longeole, le cardon et la fricassée de légumes de saison. Nous vous proposons de découvrir différents cépages de 6 vignerons genevois.",yes,,,,,,,,,,,,,,,,+41 22 312 18 87,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,225,6.1468905,46.201261200000005
node/2166870346,2166870346,node,restaurant,Les Armures,,POINT (6.1472756 46.2013046),,,,,,5 stars,,,,,,,,,,,,,,,,,,,hotel,Q18414315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,6.1472755999999995,46.2013046
node/2169156780,2169156780,node,restaurant,Café Papon,,POINT (6.1464792 46.2008035),Geneve,,1,1204.0,Rue Henri-Fazy,Bar café restaurant reception terrasse salle privee,,,+41 22 311 54 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,6.1464792,46.2008035
node/2169156786,2169156786,node,restaurant,La Cave Valaisanne,limited,POINT (6.1407773 46.2009447),Geneva,,23,1204.0,Boulevard Georges-Favon,,,"""fermé (incendie)""",,http://www.chaletswiss.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,6.1407773,46.2009447
node/2169156787,2169156787,node,restaurant,La Romantica,,POINT (6.1455511 46.2029908),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,6.1455511,46.2029908
node/2169156788,2169156788,node,restaurant,La Boursière,,POINT (6.1454472 46.202864),,,,,,,salads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,6.1454472,46.202864
node/2169156789,2169156789,node,restaurant,Le Boël,limited,POINT (6.1446638 46.2028589),,,,,,,swiss;fondue;local,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,231,6.1446638,46.202858899999995
node/2169156790,2169156790,node,restaurant,Le Perron,,POINT (6.1482005 46.2021786),Genève,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,6.1482005,46.2021786
node/2169156791,2169156791,node,restaurant,Le Thé,,POINT (6.1375706 46.2011884),Genève,,65,1205.0,Rue des Bains,,chinese,Mo-Sa 04:30-06:30,+41 79 436 77 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,6.1375706,46.2011884
node/2169156792,2169156792,node,restaurant,Taverne de la Madeleine,,POINT (6.149135500000001 46.2018888),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,6.149135500000001,46.2018888
node/2169156852,2169156852,node,restaurant,Café Restaurant du Parc des Bastions,yes,POINT (6.144556099999999 46.2007081),Genève,,1,1204.0,Promenade des Bastions,,regional;french,"Mo-Sa 10:00-22:00, Su 10:00-18:30",+41 22 310 86 66,http://www.bastions.ch/,no,,200.0,no,,contact@bastions.ch,,wlan,,,,,local_knowledge,,,,,,yes,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,6.144556099999999,46.2007081
node/2175850012,2175850012,node,restaurant,Le Bistrot Laz Nillo,,POINT (6.1345372 46.1905606),Carouge,CH,34,,Route des Acacias,surveyed by Alex-7,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,6.1345372000000005,46.190560600000005
node/2175850014,2175850014,node,restaurant,le lotus d'or,,POINT (6.133981299999999 46.1902815),Carouge,CH,38,,Route des Acacias,,vietnamese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,6.133981299999999,46.1902815
node/2177666196,2177666196,node,restaurant,Rest. Minotor,,POINT (6.1395547 46.1967641),Genève,CH,3,1205.0,Rue du Bois-Melly,surveyed by Alex-7,,,+41223217005,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,6.1395547,46.1967641
node/2177666214,2177666214,node,restaurant,Restaurant dei Trulli,,POINT (6.1387655 46.1965507),Genève,CH,81,1205.0,Boulevard Carl-Vogt,surveyed by Alex-7,italian,,,,,,,,Restaurant dei Trulli,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,6.1387655,46.1965507
node/2178312844,2178312844,node,restaurant,Le Charley's,,POINT (6.0846779 46.2233505),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,6.0846779,46.2233505
node/2184046194,2184046194,node,restaurant,Auberge de la Route Blanche,,POINT (6.199552 46.18852879999999),Thônex,,73,,Chemin du Bois-des-Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,6.199552,46.18852879999999
node/2184623398,2184623398,node,restaurant,Trigal,,POINT (6.128385400000001 46.2126002),,,50,,,,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,6.128385400000001,46.212600200000004
node/2184636202,2184636202,node,restaurant,Le Montparnasse,,POINT (6.1293282 46.2131128),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,6.1293282,46.2131128
node/2188913108,2188913108,node,restaurant,Café de la Paix,,POINT (6.1360727 46.1980592),Genève,CH,61,1205.0,Boulevard Carl-Vogt,,french,,+41 22 301 11 88,http://www.cafe-de-la-paix.ch,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,6.1360727,46.1980592
node/2188913109,2188913109,node,restaurant,Le Safran,,POINT (6.1360355 46.19777070000001),Genève,CH,62,,Boulevard Carl-Vogt,surveyed by Alex-7,indian,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,6.1360355,46.19777070000001
node/2188913114,2188913114,node,restaurant,Restaurant Migros,yes,POINT (6.1308163 46.2007083),Genève,CH,,,Boulevard Carl-Vogt,surveyed by Alex-7,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,6.1308163,46.200708299999995
node/2194925572,2194925572,node,restaurant,Le péché mignon,,POINT (6.222929 46.2231652),Choulex,,115,,Route de Choulex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,6.222929,46.2231652
node/2217025822,2217025822,node,restaurant,Le Boteco,,POINT (6.147182900000001 46.1949054),Genève,CH,12,1205.0,Rue Micheli du Crest,"surveyed by Alex-7, restaurant added by Sev Ika",,"Lundi: 11h30-14h30 (cuisine: 12h-14h), Mardi-Vendredi: 11h30-14h30 (cuisine: 12h-14h) et 18h-23h (cuisine: 19h-22h), Samedi: 18h-23h (cuisine: 19h-22h)",+41 (0)22 328 09 09,https://www.leboteco.ch/,,,,,,info@leboteco.ch,,,,,,,survey;local knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,6.147182900000001,46.1949054
node/2218915981,2218915981,node,restaurant,,,POINT (6.1554388 46.18248610000001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,6.1554388,46.182486100000006
node/2222337640,2222337640,node,restaurant,Il Mirtillo,,POINT (6.153986799999999 46.1767349),Vessy,,130,,Route de Veyrier,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,6.153986799999999,46.1767349
node/2240237218,2240237218,node,restaurant,Café du Stade,,POINT (6.147838 46.18471539999999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,6.147838,46.184715399999995
node/2240237219,2240237219,node,restaurant,Calabria,,POINT (6.1389456 46.192492),,,,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,6.1389456,46.192492
node/2240237220,2240237220,node,restaurant,Ponte Vecchio,,POINT (6.1400863 46.1934497),Genève,,,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,6.1400863,46.1934497
node/2247299076,2247299076,node,restaurant,La Mamma,,POINT (6.122788099999999 46.1729599),,,,,,,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,6.122788099999999,46.1729599
node/2252735378,2252735378,node,restaurant,Il Punto,,POINT (6.140221700000001 46.20646439999999),,,,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,6.140221700000001,46.206464399999994
node/2254302475,2254302475,node,restaurant,Restaurant Odéon,,POINT (6.137163200000001 46.2012422),Genève,CH,60,1205.0,Boulevard de Saint-Georges,surveyed by Alex-7 with OSMpad,french,Tu-Fr 11:30-14:00; Tu-Sa 18:30-23:00,+41 22 328 55 98,https://odeongeneve.ch,,,,,Restaurant de l‘Odéon,,,wlan,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,6.137163200000001,46.2012422
node/2255488603,2255488603,node,restaurant,Dun Huang,,POINT (6.152392900000001 46.1892275),,,,,,,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,6.152392900000001,46.1892275
node/2266023814,2266023814,node,restaurant,Giardino Romano,,POINT (6.1287468 46.2045344),,,,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,6.1287468,46.2045344
node/2266023816,2266023816,node,restaurant,Ming Wah,,POINT (6.1301509 46.204894),Genève,,42,,Rue de Saint-Jean,,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,6.1301509,46.204894
node/2266023820,2266023820,node,restaurant,Na Village,,POINT (6.131489 46.2052734),Genève,,57,,Rue de Saint-Jean,,thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,6.131489,46.2052734
node/2266023821,2266023821,node,restaurant,Le Farinet,,POINT (6.1244422 46.204239),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,6.1244422,46.204239
node/2266461534,2266461534,node,restaurant,Le Saint Jean,,POINT (6.139068599999999 46.2004109),Genève,,6,,Rue du Vieux-Billard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,6.139068599999999,46.2004109
node/2267251093,2267251093,node,restaurant,Rodeo Grill,,POINT (6.135427200000001 46.2053648),Genève,,,,,,,,,,,,,,"L'Arancio, La Zagara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,6.1354272000000005,46.2053648
node/2267667811,2267667811,node,restaurant,Chandigarh Tandoori,,POINT (6.128669599999999 46.20827199999999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,6.128669599999999,46.208271999999994
node/2275538440,2275538440,node,restaurant,LaCité Fleurie,,POINT (6.1055707 46.19318939999999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,6.1055707,46.193189399999994
node/2275538453,2275538453,node,restaurant,Sing Fa,,POINT (6.1049431 46.191555),,,,,,,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,6.1049431,46.191555
node/2281428751,2281428751,node,restaurant,Auberge communale d'Onex,,POINT (6.0967383 46.1838484),Onex,,18,,Route de Loëx,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,6.0967383,46.1838484
node/2284327854,2284327854,node,restaurant,Chez La Voisine,,POINT (6.158067099999999 46.2048943),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,6.158067099999999,46.2048943
node/2284327858,2284327858,node,restaurant,L'Esquisse,,POINT (6.1573883 46.2044112),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,6.1573883,46.2044112
node/2284327861,2284327861,node,restaurant,La Casa,,POINT (6.1569054 46.2029342),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,6.1569054,46.2029342
node/2284327864,2284327864,node,restaurant,La Plancha,,POINT (6.1560291 46.20263060000001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,6.1560291,46.202630600000006
node/2284327867,2284327867,node,restaurant,San Remo,,POINT (6.1570025 46.2026887),,,,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,6.1570025,46.2026887
node/2284327869,2284327869,node,restaurant,la Bodega,,POINT (6.1578632 46.2039465),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,6.1578632,46.2039465
node/2289018442,2289018442,node,restaurant,Auberge de la Mère Royaume,,POINT (6.1415287 46.2068729),Genève,,,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,6.1415287,46.2068729
node/2296485584,2296485584,node,restaurant,Le Grizzly,,POINT (6.1185875 46.2310559),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,6.1185875,46.2310559
node/2297208591,2297208591,node,restaurant,Parfums de Beyrouth,,POINT (6.1458983 46.20995300000001),Geneva,,18,1201.0,Rue de Berne,,kebab,Su-Th 11:00-02:00; Fr-Sa 11:00-06:00,022 731 66 58,https://parfums-de-beyrouth.business.site/,no,,30.0,yes,,,,,,,,,,,,,,,,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,6.1458983,46.209953000000006
node/2301041876,2301041876,node,restaurant,Thaï Phuket,,POINT (6.1419449 46.2206127),Genève,CH,33,,Avenue de France,surveyed by Alex-7 with OSMpad on bicycle,thai,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,6.1419449,46.220612700000004
node/2303458090,2303458090,node,restaurant,Cinecitta,,POINT (6.160101099999999 46.20332070000001),Genève,,17,1207.0,Rue de Montchoisy,,pizza,,+41 22 736 49 59,http://www.pizzeria-cinecitta.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,6.160101099999999,46.203320700000006
node/2315757261,2315757261,node,restaurant,La Gioconda,yes,POINT (6.1058402 46.22565),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,6.1058402,46.22565
node/2315757265,2315757265,node,restaurant,L'Osteria di Oreste,,POINT (6.1062697 46.2260225),Cointrin,,82,,Avenue Louis-Casaï,,italian,,+41 22 788 26 88,https://www.restaurant-pizzeria-dioreste-geneve.ch/,,,,,,losteriadioreste@gmail.com,,wlan,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,customers,,,,,,,,,,,Losteria,,,,,,,,,,,,,,,,,,,,,,,280,6.1062697,46.2260225
node/2315757268,2315757268,node,restaurant,Royal Oriental,,POINT (6.108973000000001 46.2239376),Cointrin,,60,,Avenue Louis-Casaï,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,6.108973000000001,46.2239376
node/2316484676,2316484676,node,restaurant,Kamome,,POINT (6.1010647 46.2243342),,,,,,,japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,6.1010647,46.2243342
node/2319855846,2319855846,node,restaurant,La Récolte,,POINT (6.106649900000001 46.2249436),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,6.106649900000001,46.224943599999996
